"","state","before","after"
"1","AZ",2.27907894295523,-3.71556853954544
"2","CA",0.985900144305203,-4.41373601046324
"3","CO",-1.27519069820992,-2.89634868454061
"4","CT",-0.301245928872186,-5.51649672590416
"5","FL",-1.22728023807802,-0.667350563136425
"6","GA",0.390490339213565,-1.50905730772816
"7","IA",-0.301619352874789,-1.15061985227771
"8","ID",1.53267622821659,-2.46341877240368
"9","IN",-2.49204960314591,-4.55400991349774
"10","KS",-0.494065717710379,-1.72435859293866
"11","KY",-2.31118620866701,-5.98157086778385
"12","MA",-0.205035442235155,-5.424317630714
"13","MD",-1.55220493713548,-4.13605129200806
"14","ME",1.16585971551341,-1.90757952872741
"15","MI",-0.26113813404369,-2.65060635347985
"16","MN",-0.330097966306932,-2.22353962884385
"17","MO",-0.679528463762653,-2.89203462974459
"18","MS",-0.94168956291893,-3.197693957297
"19","MT",-0.596165487387883,-0.810593848964197
"20","NC",-1.64443603581649,-3.58918480369631
"21","ND",-0.442332882411114,-1.19141511627602
"22","NJ",-0.655465124936363,-6.39359955107561
"23","NM",-0.255901680230544,-3.92155786646164
"24","NV",-2.33446625504831,-13.937948476186
"25","OH",-0.928417803642569,-2.97067223829723
"26","OK",-0.279777805154523,-3.20805619283023
"27","OR",-1.15281993153045,-2.95213740928912
"28","PA",-4.41110419106757,-10.7928289699611
"29","RI",-0.360325567571135,-7.53822745639703
"30","SC",-0.779950358096359,-1.59342576811739
"31","UT",0.471660916308054,-4.66914732248171
"32","VA",-3.11157132051242,-5.47964499480746
"33","VT",-0.369382446303854,-4.88072182257409
"34","WA",-0.930008976419302,-3.05437477076135
"35","WI",-0.887901337796712,-3.25417255467416
"36","WY",-0.429237548924053,-0.71104342800647
